airport_1,airport_2,year_coeff,nsmiles,a,b,airport_1_2,city_1,state_1,airport_2.1,city_2,state_2,population_1,density_1,lat_1,lon_1,population_2,density_2,lat_2,lon_2
AUS,IAD,-0.009039018,1342,353.0795727,0.000287919,AUS_IAD,Austin,TX,IAD,Washington,DC,1905945,1154.1,30.3005,-97.7522,5116378,4235.7,38.9047,-77.0163
BNA,IAD,0.013684142,587,300.2160952,0.000730667,BNA_IAD,Nashville,TN,IAD,Washington,DC,1177657,555.4,36.1715,-86.7842,5116378,4235.7,38.9047,-77.0163
BOS,GRR,0.034154786,740,391.9657592,0.001834284,BOS_GRR,Boston,MA,GRR,Grand Rapids,MI,4328315,5319,42.3188,-71.0852,609023,1708.2,42.9619,-85.6562
BOS,IND,-0.000761097,818,253.1277754,7.37E-05,BOS_IND,Boston,MA,IND,Indianapolis,IN,4328315,5319,42.3188,-71.0852,1729849,941.8,39.7771,-86.1458
BOS,ORF,0.010823479,487,215.8656962,0.000174883,BOS_ORF,Boston,MA,ORF,Norfolk,VA,4328315,5319,42.3188,-71.0852,236973,1717.4,36.8945,-76.259
BOS,SAV,0.023508376,917,201.8417351,0,BOS_SAV,Boston,MA,SAV,Savannah,GA,4328315,5319,42.3188,-71.0852,316050,524.8,32.0286,-81.1821
BOS,SRQ,0.01959646,1240,224.9538791,0,BOS_SRQ,Boston,MA,SRQ,Sarasota,FL,4328315,5319,42.3188,-71.0852,55508,1458.3,27.3387,-82.5432
FLL,BNA,0.019157516,806,242.9158228,0.000237672,FLL_BNA,Fort Lauderdale,FL,BNA,Nashville,TN,182673,2039.5,26.1412,-80.1464,1177657,555.4,36.1715,-86.7842
FLL,ORF,0.012855805,812,275.8596254,0.001321875,FLL_ORF,Fort Lauderdale,FL,ORF,Norfolk,VA,182673,2039.5,26.1412,-80.1464,236973,1717.4,36.8945,-76.259
FLL,PBG,-0.035780911,1355,129.1631316,0,FLL_PBG,Fort Lauderdale,FL,PBG,Plattsburgh,NY,182673,2039.5,26.1412,-80.1464,19907,1525.5,44.6951,-73.4563
FLL,SWF,0.010974968,1139,209.7347121,0.000314728,FLL_SWF,Fort Lauderdale,FL,SWF,Newburgh,NY,182673,2039.5,26.1412,-80.1464,28237,758,41.519722,-74.021389
FLL,SYR,0.008364226,1217,178.7518821,0,FLL_SYR,Fort Lauderdale,FL,SYR,Syracuse,NY,182673,2039.5,26.1412,-80.1464,410732,2251.6,43.0407,-76.1437
JAX,IAD,0.016750457,663,212.2484281,0.000159899,JAX_IAD,Jacksonville,FL,IAD,Washington,DC,1288298,491,30.3322,-81.6749,5116378,4235.7,38.9047,-77.0163
JAX,ORF,0.023543035,547,190.6450521,0.000111464,JAX_ORF,Jacksonville,FL,ORF,Norfolk,VA,1288298,491,30.3322,-81.6749,236973,1717.4,36.8945,-76.259
LAS,AZA,0.009617592,276,275.0502594,0.007639277,LAS_AZA,Las Vegas,NV,AZA,Mesa,AZ,2248047,1755.1,36.2333,-115.2654,503390,1379.8,33.4015,-111.7178
LAS,LAX,0.019287978,236,121.8419721,2.00E-06,LAS_LAX,Las Vegas,NV,LAX,Los Angeles,CA,2248047,1755.1,36.2333,-115.2654,11922389,3184.7,34.1141,-118.4068
LAX,GEG,0.018113138,962,194.1895181,0,LAX_GEG,Los Angeles,CA,GEG,Spokane,WA,11922389,3184.7,34.1141,-118.4068,456219,1279.8,47.6671,-117.433
LAX,ICT,0.000619089,1203,240.1477766,0.000323584,LAX_ICT,Los Angeles,CA,ICT,Wichita,KS,11922389,3184.7,34.1141,-118.4068,509003,938.6,37.6895,-97.3443
LAX,MEM,-0.000544504,1619,278.2754513,0.000169286,LAX_MEM,Los Angeles,CA,MEM,Memphis,TN,11922389,3184.7,34.1141,-118.4068,1037998,824.8,35.1087,-89.9663
LAX,MFR,0.007752922,659,203.4089197,0.000649472,LAX_MFR,Los Angeles,CA,MFR,Medford,OR,11922389,3184.7,34.1141,-118.4068,168959,1191.6,42.3372,-122.854
LAX,MSO,0.010701924,935,436.4331884,0.003725836,LAX_MSO,Los Angeles,CA,MSO,Missoula,MT,11922389,3184.7,34.1141,-118.4068,88780,828.8,46.8751,-114.0214
LAX,OMA,0.014758776,1330,241.963177,0.00016086,LAX_OMA,Los Angeles,CA,OMA,Omaha,NE,11922389,3184.7,34.1141,-118.4068,821345,1323.9,41.2627,-96.0529
LAX,PSC,0.036975828,871,136.0299734,0,LAX_PSC,Los Angeles,CA,PSC,Pasco,WA,11922389,3184.7,34.1141,-118.4068,77274,873.1,46.2506,-119.1305
LAX,SGF,-0.01004379,1423,1356.21841,0.008490153,LAX_SGF,Los Angeles,CA,SGF,Springfield,MO,11922389,3184.7,34.1141,-118.4068,286280,784.5,37.1943,-93.2916
LAX,TUL,0.012427206,1283,307.8728998,0.00069274,LAX_TUL,Los Angeles,CA,TUL,Tulsa,OK,11922389,3184.7,34.1141,-118.4068,731743,804.2,36.1283,-95.9042
MDW,SAV,0.020721621,773,196.1702719,0.000218423,MDW_SAV,Chicago,IL,SAV,Savannah,GA,8497759,4614.5,41.8375,-87.6866,316050,524.8,32.0286,-81.1821
MYR,SWF,0.003634024,601,557.8338571,0.008205007,MYR_SWF,Myrtle Beach,SC,SWF,Newburgh,NY,332181,594.6,33.7094,-78.8844,28237,758,41.519722,-74.021389
PHX,FSD,0.028269027,1081,508.0379723,0.003244932,PHX_FSD,Phoenix,AZ,FSD,Sioux Falls,SD,4064275,1198.9,33.5722,-112.0892,204484,926,43.5396,-96.7311
PHX,GEG,0.011787333,1020,207.0388656,0,PHX_GEG,Phoenix,AZ,GEG,Spokane,WA,4064275,1198.9,33.5722,-112.0892,456219,1279.8,47.6671,-117.433
PHX,ICT,0.002756078,870,216.9004407,0.000247734,PHX_ICT,Phoenix,AZ,ICT,Wichita,KS,4064275,1198.9,33.5722,-112.0892,509003,938.6,37.6895,-97.3443
PHX,PDX,0.010845173,1009,206.3830653,2.70E-05,PHX_PDX,Phoenix,AZ,PDX,Portland,OR,4064275,1198.9,33.5722,-112.0892,2095808,1868.8,45.5371,-122.65
PHX,PIT,0.030868991,1814,298.972583,0.00012467,PHX_PIT,Phoenix,AZ,PIT,Pittsburgh,PA,4064275,1198.9,33.5722,-112.0892,1749091,2118.5,40.4397,-79.9763
PHX,PVU,-0.030348888,477,167.8037028,0.003006432,PHX_PVU,Phoenix,AZ,PVU,Provo,UT,4064275,1198.9,33.5722,-112.0892,619218,1059.2,40.2457,-111.6457
SNA,GEG,0.013644144,962,220.4102541,0.000223613,SNA_GEG,Santa Ana,CA,GEG,Spokane,WA,311379,4391.5,33.7367,-117.8819,456219,1279.8,47.6671,-117.433
SNA,MFR,0.011145556,659,670.7437599,0.007887135,SNA_MFR,Santa Ana,CA,MFR,Medford,OR,311379,4391.5,33.7367,-117.8819,168959,1191.6,42.3372,-122.854
SRQ,IAD,0.010195001,880,196.6070376,0.000275731,SRQ_IAD,Sarasota,FL,IAD,Washington,DC,55508,1458.3,27.3387,-82.5432,5116378,4235.7,38.9047,-77.0163
VPS,BWI,-0.018859872,819,181.5249814,0,VPS_BWI,Valparaiso,FL,BWI,Baltimore,MD,4889,160.8,30.4926,-86.5079,2196524,2788.2,39.3051,-76.6144
AUS,DAL,0.043960648,190,170.1743191,4.20E-06,AUS_DAL,Austin,TX,DAL,Dallas,TX,1905945,1154.1,30.3005,-97.7522,5830932,1478.7,32.7935,-96.7667
AUS,DFW,0.029722024,190,178.8193908,0,AUS_DFW,Austin,TX,DFW,Dallas,TX,1905945,1154.1,30.3005,-97.7522,5830932,1478.7,32.7935,-96.7667
AUS,PHX,0.00658574,872,228.5198312,2.99E-05,AUS_PHX,Austin,TX,PHX,Phoenix,AZ,1905945,1154.1,30.3005,-97.7522,4064275,1198.9,33.5722,-112.0892
AUS,BOS,-0.018392961,1698,265.6715752,6.15E-05,AUS_BOS,Austin,TX,BOS,Boston,MA,1905945,1154.1,30.3005,-97.7522,4328315,5319,42.3188,-71.0852
AUS,PVD,0.019128754,1698,1333.07701,0.009536441,AUS_PVD,Austin,TX,PVD,Providence,RI,1905945,1154.1,30.3005,-97.7522,1290271,3979.7,41.823,-71.4187
AUS,BWI,0.015490909,1342,243.5424211,1.02E-05,AUS_BWI,Austin,TX,BWI,Baltimore,MD,1905945,1154.1,30.3005,-97.7522,2196524,2788.2,39.3051,-76.6144
AUS,DCA,-0.004240269,1342,267.0174928,0,AUS_DCA,Austin,TX,DCA,Washington,DC,1905945,1154.1,30.3005,-97.7522,5116378,4235.7,38.9047,-77.0163
AUS,MDW,-0.003621186,977,217.7672234,8.22E-05,AUS_MDW,Austin,TX,MDW,Chicago,IL,1905945,1154.1,30.3005,-97.7522,8497759,4614.5,41.8375,-87.6866
AUS,ORD,0.001893091,977,238.6812776,4.11E-05,AUS_ORD,Austin,TX,ORD,Chicago,IL,1905945,1154.1,30.3005,-97.7522,8497759,4614.5,41.8375,-87.6866
AUS,EWR,-0.026894298,1559,270.3169727,5.45E-05,AUS_EWR,Austin,TX,EWR,New York,NY,1905945,1154.1,30.3005,-97.7522,18908608,11080.3,40.6943,-73.9249
AUS,JFK,0.00965158,1559,264.0751448,4.17E-05,AUS_JFK,Austin,TX,JFK,New York,NY,1905945,1154.1,30.3005,-97.7522,18908608,11080.3,40.6943,-73.9249
AUS,LGA,-0.01126434,1559,263.156114,0.000190774,AUS_LGA,Austin,TX,LGA,New York,NY,1905945,1154.1,30.3005,-97.7522,18908608,11080.3,40.6943,-73.9249
AUS,OAK,0.007991403,1504,226.1446571,0,AUS_OAK,Austin,TX,OAK,Oakland,CA,1905945,1154.1,30.3005,-97.7522,437825,3020.6,37.7904,-122.2166
AUS,SFO,0.002389193,1504,270.4709314,3.84E-05,AUS_SFO,Austin,TX,SFO,San Francisco,CA,1905945,1154.1,30.3005,-97.7522,3364979,7030.7,37.7558,-122.4449
AUS,SJC,0.001651229,1504,265.3270384,8.07E-05,AUS_SJC,Austin,TX,SJC,San Jose,CA,1905945,1154.1,30.3005,-97.7522,1771413,2172.6,37.3012,-121.848
AUS,FLL,-0.010443594,1105,166.8037914,0,AUS_FLL,Austin,TX,FLL,Fort Lauderdale,FL,1905945,1154.1,30.3005,-97.7522,182673,2039.5,26.1412,-80.1464
AUS,MIA,-0.003429981,1105,236.3017835,0.000125524,AUS_MIA,Austin,TX,MIA,Miami,FL,1905945,1154.1,30.3005,-97.7522,6080145,4758.9,25.784,-80.2101
AUS,BUR,0.014035541,1242,221.6983857,0,AUS_BUR,Austin,TX,BUR,Burbank,CA,1905945,1154.1,30.3005,-97.7522,106389,2372.2,34.1879,-118.3235
AUS,LAX,0.002362522,1242,224.663788,3.92E-05,AUS_LAX,Austin,TX,LAX,Los Angeles,CA,1905945,1154.1,30.3005,-97.7522,11922389,3184.7,34.1141,-118.4068
AUS,LGB,-0.001637298,1242,192.0625218,0.000225418,AUS_LGB,Austin,TX,LGB,Long Beach,CA,1905945,1154.1,30.3005,-97.7522,462293,3522.5,33.7977,-118.167
AUS,ONT,0.014537929,1242,240.1121094,0.00052793,AUS_ONT,Austin,TX,ONT,Ontario,CA,1905945,1154.1,30.3005,-97.7522,176326,1362,34.0393,-117.6064
AUS,SNA,0.007951059,1242,255.6345954,0.000186737,AUS_SNA,Austin,TX,SNA,Santa Ana,CA,1905945,1154.1,30.3005,-97.7522,311379,4391.5,33.7367,-117.8819
AUS,TPA,0.010213872,928,215.642991,0,AUS_TPA,Austin,TX,TPA,Tampa,FL,1905945,1154.1,30.3005,-97.7522,2861173,1320.9,27.9945,-82.4447
PHX,SEA,0.001104809,1107,196.8979667,1.87E-05,PHX_SEA,Phoenix,AZ,SEA,Seattle,WA,4064275,1198.9,33.5722,-112.0892,3561397,3376.6,47.6211,-122.3244
PHX,BWI,0.020152642,1999,267.6121189,0,PHX_BWI,Phoenix,AZ,BWI,Baltimore,MD,4064275,1198.9,33.5722,-112.0892,2196524,2788.2,39.3051,-76.6144
PHX,DCA,0.003577658,1999,321.2891464,0,PHX_DCA,Phoenix,AZ,DCA,Washington,DC,4064275,1198.9,33.5722,-112.0892,5116378,4235.7,38.9047,-77.0163
PHX,IAD,0.000555846,1999,354.9381078,0.000163546,PHX_IAD,Phoenix,AZ,IAD,Washington,DC,4064275,1198.9,33.5722,-112.0892,5116378,4235.7,38.9047,-77.0163
PHX,STL,0.019411312,1262,248.2507324,5.23E-05,PHX_STL,Phoenix,AZ,STL,St. Louis,MO,4064275,1198.9,33.5722,-112.0892,2130881,1864.3,38.6359,-90.2451
PHX,OAK,0.026551591,668,172.2006908,2.20E-05,PHX_OAK,Phoenix,AZ,OAK,Oakland,CA,4064275,1198.9,33.5722,-112.0892,437825,3020.6,37.7904,-122.2166
PHX,SFO,0.021083484,668,174.911193,1.56E-05,PHX_SFO,Phoenix,AZ,SFO,San Francisco,CA,4064275,1198.9,33.5722,-112.0892,3364979,7030.7,37.7558,-122.4449
PHX,SJC,0.027161154,668,191.5627646,1.61E-05,PHX_SJC,Phoenix,AZ,SJC,San Jose,CA,4064275,1198.9,33.5722,-112.0892,1771413,2172.6,37.3012,-121.848
PHX,SMF,0.024454044,647,192.0589078,2.14E-05,PHX_SMF,Phoenix,AZ,SMF,Sacramento,CA,4064275,1198.9,33.5722,-112.0892,1957738,2049.4,38.5677,-121.4685
PHX,TPA,0.022724737,1788,272.4412795,0,PHX_TPA,Phoenix,AZ,TPA,Tampa,FL,4064275,1198.9,33.5722,-112.0892,2861173,1320.9,27.9945,-82.4447
PHX,SAT,0.007278007,843,227.4628481,4.86E-05,PHX_SAT,Phoenix,AZ,SAT,San Antonio,TX,4064275,1198.9,33.5722,-112.0892,2058444,1118.8,29.4632,-98.5238
PHX,SAN,0.030327869,324,157.9127084,3.88E-06,PHX_SAN,Phoenix,AZ,SAN,San Diego,CA,4064275,1198.9,33.5722,-112.0892,3046560,1639.7,32.8313,-117.1222
PHX,RDU,0.024709014,1891,271.0602642,0,PHX_RDU,Phoenix,AZ,RDU,Raleigh,NC,4064275,1198.9,33.5722,-112.0892,1163152,1210,35.8324,-78.6429
PHX,RNO,0.019364232,601,191.9036506,3.95E-05,PHX_RNO,Phoenix,AZ,RNO,Reno,NV,4064275,1198.9,33.5722,-112.0892,457702,940.5,39.5497,-119.8483
PHX,SLC,0.008627982,507,179.5322816,1.17E-05,PHX_SLC,Phoenix,AZ,SLC,Salt Lake City,UT,4064275,1198.9,33.5722,-112.0892,1173879,700.8,40.7776,-111.9311
PHX,TUL,0.01188921,935,235.2069738,0,PHX_TUL,Phoenix,AZ,TUL,Tulsa,OK,4064275,1198.9,33.5722,-112.0892,731743,804.2,36.1283,-95.9042
BOS,DAL,-0.000909976,1562,215.2472709,0.000382556,BOS_DAL,Boston,MA,DAL,Dallas,TX,4328315,5319,42.3188,-71.0852,5830932,1478.7,32.7935,-96.7667
BOS,DFW,-0.018975945,1562,260.4260661,2.90E-05,BOS_DFW,Boston,MA,DFW,Dallas,TX,4328315,5319,42.3188,-71.0852,5830932,1478.7,32.7935,-96.7667
BOS,PIT,-0.011912095,496,172.460227,2.53E-05,BOS_PIT,Boston,MA,PIT,Pittsburgh,PA,4328315,5319,42.3188,-71.0852,1749091,2118.5,40.4397,-79.9763
BOS,DEN,-0.00375132,1754,282.2951787,2.64E-05,BOS_DEN,Boston,MA,DEN,Denver,CO,4328315,5319,42.3188,-71.0852,2687458,1792.9,39.762,-104.8758
BOS,PHX,0.00844025,2300,314.1848133,5.49E-05,BOS_PHX,Boston,MA,PHX,Phoenix,AZ,4328315,5319,42.3188,-71.0852,4064275,1198.9,33.5722,-112.0892
BOS,SEA,-0.005895122,2496,274.3254363,0,BOS_SEA,Boston,MA,SEA,Seattle,WA,4328315,5319,42.3188,-71.0852,3561397,3376.6,47.6211,-122.3244
BOS,CAK,-0.009191881,563,154.5909399,0,BOS_CAK,Boston,MA,CAK,Akron,OH,4328315,5319,42.3188,-71.0852,541945,1186.2,41.0798,-81.5219
BOS,CLE,-0.011284277,563,209.8108347,8.90E-05,BOS_CLE,Boston,MA,CLE,Cleveland,OH,4328315,5319,42.3188,-71.0852,1680247,1839.6,41.4764,-81.6805
BOS,BNA,0.000718215,942,208.5869762,4.57E-05,BOS_BNA,Boston,MA,BNA,Nashville,TN,4328315,5319,42.3188,-71.0852,1177657,555.4,36.1715,-86.7842
BOS,BUF,-3.28E-05,395,150.547459,5.69E-05,BOS_BUF,Boston,MA,BUF,Buffalo,NY,4328315,5319,42.3188,-71.0852,944589,2645.7,42.9018,-78.8487
BOS,BZN,0.099424712,1991,335.9184568,0,BOS_BZN,Boston,MA,BZN,Bozeman,MT,4328315,5319,42.3188,-71.0852,65279,990.1,45.6833,-111.0558
BOS,BWI,-0.000109421,418,139.4810612,1.63E-05,BOS_BWI,Boston,MA,BWI,Baltimore,MD,4328315,5319,42.3188,-71.0852,2196524,2788.2,39.3051,-76.6144
BOS,DCA,-0.008691661,418,161.1843808,1.80E-06,BOS_DCA,Boston,MA,DCA,Washington,DC,4328315,5319,42.3188,-71.0852,5116378,4235.7,38.9047,-77.0163
BOS,IAD,0.006168937,418,167.4292218,1.12E-05,BOS_IAD,Boston,MA,IAD,Washington,DC,4328315,5319,42.3188,-71.0852,5116378,4235.7,38.9047,-77.0163
BOS,MDW,0.000141479,867,148.949593,0,BOS_MDW,Boston,MA,MDW,Chicago,IL,4328315,5319,42.3188,-71.0852,8497759,4614.5,41.8375,-87.6866
BOS,ORD,-0.016498718,867,187.7236166,7.36E-06,BOS_ORD,Boston,MA,ORD,Chicago,IL,4328315,5319,42.3188,-71.0852,8497759,4614.5,41.8375,-87.6866
BOS,CHS,0.007793279,836,214.5060616,6.03E-05,BOS_CHS,Boston,MA,CHS,Charleston,SC,4328315,5319,42.3188,-71.0852,706884,503.3,32.8168,-79.9687
BOS,CLT,-0.006067167,737,173.0332621,0,BOS_CLT,Boston,MA,CLT,Charlotte,NC,4328315,5319,42.3188,-71.0852,1427444,1089.8,35.2083,-80.8303
BOS,CMH,0.013960875,640,242.265917,7.05E-05,BOS_CMH,Boston,MA,CMH,Columbus,OH,4328315,5319,42.3188,-71.0852,1572546,1581,39.9862,-82.9855
BOS,STL,-0.006885797,1047,257.6356602,0,BOS_STL,Boston,MA,STL,St. Louis,MO,4328315,5319,42.3188,-71.0852,2130881,1864.3,38.6359,-90.2451
BOS,MYR,0.008159496,756,134.8315125,0,BOS_MYR,Boston,MA,MYR,Myrtle Beach,SC,4328315,5319,42.3188,-71.0852,332181,594.6,33.7094,-78.8844
BOS,JAX,0.006386484,1028,184.55785,0,BOS_JAX,Boston,MA,JAX,Jacksonville,FL,4328315,5319,42.3188,-71.0852,1288298,491,30.3322,-81.6749
BOS,DTW,-0.008363155,632,250.5356449,0.000105062,BOS_DTW,Boston,MA,DTW,Detroit,MI,4328315,5319,42.3188,-71.0852,3725908,1772.2,42.3834,-83.1024
BOS,HOU,-0.003805762,1609,253.3346079,0.000366951,BOS_HOU,Boston,MA,HOU,Houston ,TX,4328315,5319,42.3188,-71.0852,5970127,1384,29.786,-95.3885
BOS,IAH,-0.011122435,1609,296.8886497,5.17E-05,BOS_IAH,Boston,MA,IAH,Houston,TX,4328315,5319,42.3188,-71.0852,5970127,1384,29.786,-95.3885
